actor,actorLabel,IMDb_ID
http://www.wikidata.org/entity/Q520060,Ira Aldridge,
http://www.wikidata.org/entity/Q520082,Lisa Tucker,nm2224188
http://www.wikidata.org/entity/Q521903,Gloria Hendry,nm0376914
http://www.wikidata.org/entity/Q524704,Theresa Randle,nm0005337
http://www.wikidata.org/entity/Q525304,Blair Underwood,nm0005516
http://www.wikidata.org/entity/Q526620,Alfre Woodard,nm0005569
http://www.wikidata.org/entity/Q526654,Danielle Nicolet,nm0630379
http://www.wikidata.org/entity/Q529906,Melissa De Sousa,nm0211726
http://www.wikidata.org/entity/Q530355,Tiffany Pollard,nm2428135
http://www.wikidata.org/entity/Q531247,Ray Mabus,nm1898318
http://www.wikidata.org/entity/Q531458,Esther Baxter,
http://www.wikidata.org/entity/Q531913,MC Eiht,nm0563810
http://www.wikidata.org/entity/Q532944,Eriq La Salle,nm0005113
http://www.wikidata.org/entity/Q533369,Saul Williams,nm0931654
http://www.wikidata.org/entity/Q534006,Taye Diggs,nm0004875
http://www.wikidata.org/entity/Q534234,Persia White,nm0925316
http://www.wikidata.org/entity/Q534352,Vanessa Bell Calloway,nm0068599
http://www.wikidata.org/entity/Q534371,Tracee Ellis Ross,nm0743896
http://www.wikidata.org/entity/Q534925,Leslie Uggams,nm0880081
http://www.wikidata.org/entity/Q535841,Marpessa Dawn,nm0206026
http://www.wikidata.org/entity/Q536025,N'Bushe Wright,nm0942668
http://www.wikidata.org/entity/Q536308,D. L. Hughley,nm0401018
http://www.wikidata.org/entity/Q536612,Rosetta LeNoire,nm0502158
http://www.wikidata.org/entity/Q537228,Taral Hicks,nm0382968
http://www.wikidata.org/entity/Q538542,Lonette McKee,nm0571188
http://www.wikidata.org/entity/Q540608,Rashida Jones,nm0429069
http://www.wikidata.org/entity/Q542069,Orlando Jones,nm0428963
http://www.wikidata.org/entity/Q542262,Jenifer Lewis,nm0507338
http://www.wikidata.org/entity/Q542267,Ray J,nm0005043
http://www.wikidata.org/entity/Q543182,Florence Mills,
http://www.wikidata.org/entity/Q550115,Anthony Montgomery,nm0599719
http://www.wikidata.org/entity/Q551322,Dorian Gregory,nm0339797
http://www.wikidata.org/entity/Q552900,Kenan Thompson,nm0860380
http://www.wikidata.org/entity/Q553846,DJ Jazzy Jeff,nm0870039
http://www.wikidata.org/entity/Q554159,D. B. Woodside,nm0940851
http://www.wikidata.org/entity/Q556868,Reagan Gomez-Preston,nm0327097
http://www.wikidata.org/entity/Q557948,Katt Williams,nm1139343
http://www.wikidata.org/entity/Q572618,Chad Coleman,nm0170968
http://www.wikidata.org/entity/Q578403,Alex Newell,nm4571658
http://www.wikidata.org/entity/Q329719,Louis Gossett,nm0001283
http://www.wikidata.org/entity/Q343059,Jeffrey Wright,nm0942482
http://www.wikidata.org/entity/Q344384,Damon Dash,nm0201965
http://www.wikidata.org/entity/Q344977,Don King,nm0005091
http://www.wikidata.org/entity/Q344983,Babyface,nm0004892
http://www.wikidata.org/entity/Q346309,Ada Smith,nm0108623
http://www.wikidata.org/entity/Q348615,MC Ren,nm1059294
http://www.wikidata.org/entity/Q348696,Walt Frazier,nm0292640
http://www.wikidata.org/entity/Q348738,Brandon T. Jackson,nm1040365
http://www.wikidata.org/entity/Q349420,Fabolous,nm1244543
http://www.wikidata.org/entity/Q349934,Noah Gray-Cabey,nm1370821
http://www.wikidata.org/entity/Q350208,Dennis Haysbert,nm0371660
http://www.wikidata.org/entity/Q355038,Gary Dourdan,nm0235427
http://www.wikidata.org/entity/Q357458,Elgin Baylor,nm1345606
http://www.wikidata.org/entity/Q358087,Tyga,nm2997492
http://www.wikidata.org/entity/Q358306,Jaleel White,nm0924918
http://www.wikidata.org/entity/Q358345,Billy Dee Williams,nm0001850
http://www.wikidata.org/entity/Q360531,Mahershala Ali,nm0991810
http://www.wikidata.org/entity/Q360807,Don Franklin,nm0291405
http://www.wikidata.org/entity/Q361297,Joe Jackson,nm1129499
http://www.wikidata.org/entity/Q361587,Kevin Peter Hall,nm0001310
http://www.wikidata.org/entity/Q361683,Omarion,nm1217506
http://www.wikidata.org/entity/Q362304,Dexter Scott King,nm0454654
http://www.wikidata.org/entity/Q365682,Gordon Parks,nm0662953
http://www.wikidata.org/entity/Q366012,Avery Brooks,nm0000984
http://www.wikidata.org/entity/Q367469,Kadeem Hardison,nm0362429
http://www.wikidata.org/entity/Q367653,Gregory Hines,nm0002138
http://www.wikidata.org/entity/Q369519,Tanedra Howard,nm3187082
http://www.wikidata.org/entity/Q370102,Shawn Wayans,nm0915465
http://www.wikidata.org/entity/Q372613,Phill Lewis,nm0507629
http://www.wikidata.org/entity/Q374181,Richard T. Jones,nm0429114
http://www.wikidata.org/entity/Q375767,Mitch Richmond,nm0725140
http://www.wikidata.org/entity/Q376031,Gary Anthony Williams,nm0930637
http://www.wikidata.org/entity/Q377991,Harold Nicholas,nm0629389
http://www.wikidata.org/entity/Q401182,Ahmed Best,nm0078886
http://www.wikidata.org/entity/Q404341,Grace Hightower,nm2984460
http://www.wikidata.org/entity/Q428662,Jake Steed,nm0824348
http://www.wikidata.org/entity/Q429963,Tim Reid,nm0005347
http://www.wikidata.org/entity/Q430849,Joie Lee,nm0497578
http://www.wikidata.org/entity/Q431656,Hazel Scott,nm0779220
http://www.wikidata.org/entity/Q432552,KRS-One,nm0472398
http://www.wikidata.org/entity/Q433154,Rachel True,nm0874086
http://www.wikidata.org/entity/Q433355,Patricia Belcher,nm0006970
http://www.wikidata.org/entity/Q433692,Nicole Ari Parker,nm0662519
http://www.wikidata.org/entity/Q434003,Holly Robinson Peete,nm0005372
http://www.wikidata.org/entity/Q434111,Alaina Reed Hall,nm0355271
http://www.wikidata.org/entity/Q434745,Tinashe,nm0434186
http://www.wikidata.org/entity/Q434913,Cam'ron,nm1004112
http://www.wikidata.org/entity/Q435315,Olivia Brown,nm0114368
http://www.wikidata.org/entity/Q435354,Raven Goodwin,nm0329538
http://www.wikidata.org/entity/Q435398,Eagle-Eye Cherry,nm0156069
http://www.wikidata.org/entity/Q435807,Taylor Parks,nm2264260
http://www.wikidata.org/entity/Q436351,Hannah Hodson,nm1970053
http://www.wikidata.org/entity/Q436422,Anne-Marie Johnson,nm0424509
http://www.wikidata.org/entity/Q437584,Quinton Jackson,nm1961693
http://www.wikidata.org/entity/Q438014,Regina Taylor,nm0853040
http://www.wikidata.org/entity/Q438366,Rozonda Thomas,nm0157612
http://www.wikidata.org/entity/Q439423,Tristan Wilds,nm2080933
http://www.wikidata.org/entity/Q439626,Jennifer Holliday,nm0391057
http://www.wikidata.org/entity/Q441362,Kyle Massey,nm1081836
http://www.wikidata.org/entity/Q441528,Lynn Swann,nm0841712
http://www.wikidata.org/entity/Q441742,Mavis Staples,nm0822918
http://www.wikidata.org/entity/Q441834,Naturi Naughton,nm1166613
http://www.wikidata.org/entity/Q441836,Sonja Sohn,nm0812308
http://www.wikidata.org/entity/Q442302,Ola Ray,nm0712954
http://www.wikidata.org/entity/Q443292,Brooke Valentine,nm1874124
http://www.wikidata.org/entity/Q443503,Midori,nm0585636
